100 Largest Cities,Census 2019 Population,Agency,State,ORI,Primary Law Enforcement Agency,UCR Population,Police Shootings Source Data Link(s),Arrests Source,Police Shootings Incidents 2013,Police Shootings Incidents 2014,Police Shootings Incidents 2015,Police Shootings Incidents 2016,Police Shootings Incidents 2017,Police Shootings Incidents 2018,Police Shootings Incidents 2019,Police Shootings Incidents 2020,Total Reported Crimes 2013,Total Reported Crimes 2019,Reported Violent Crimes 2013,Reported Violent Crimes 2019,2013 Violent Crime Arrests,2013 Low Level Arrests,2013 Total Arrests,2019 Violent Crime Arrests,2019 Low Level Arrests,2019 Total Arrests,Change in Police Shootings,Change in Violent Crime Arrests,Change in Low Level Arrests,Change in Arrests,Change in Violent Crime,Change in Crime,2013 Aggravated Assault,2013 All Other Offenses (Except Traffic),2013 Arson,2013 Burglary,2013 Curfew and Loitering Law Violations,2013 Disorderly Conduct,2013 Driving Under the Influence,2013 Drug Abuse Violations - Grand Total,2013 Drunkenness,2013 Embezzlement,2013 Forgery and Counterfeiting,2013 Fraud,2013 Gambling - Total,2013 Human Trafficking - Commercial Sex Acts,2013 Human Trafficking - Involuntary Servitude,2013 Larceny - Theft,2013 Liquor Laws,2013 Manslaughter by Negligence,2013 Motor Vehicle Theft,2013 Murder and Nonnegligent Manslaughter,2013 Offenses Against the Family and Children,2013 Prostitution and Commercialized Vice,2013 Rape,2013 Robbery,"2013 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2013 Simple Assault,"2013 Stolen Property: Buying, Receiving, Possessing",2013 Suspicion,2013 Vagrancy,2013 Vandalism,"2013 Weapons: Carrying, Possessing, Etc.",2019 Aggravated Assault,2019 All Other Offenses (Except Traffic),2019 Arson,2019 Burglary,2019 Curfew and Loitering Law Violations,2019 Disorderly Conduct,2019 Driving Under the Influence,2019 Drug Abuse Violations - Grand Total,2019 Drunkenness,2019 Embezzlement,2019 Forgery and Counterfeiting,2019 Fraud,2019 Gambling - Total,2019 Human Trafficking - Commercial Sex Acts,2019 Human Trafficking - Involuntary Servitude,2019 Larceny - Theft,2019 Liquor Laws,2019 Manslaughter by Negligence,2019 Motor Vehicle Theft,2019 Murder and Nonnegligent Manslaughter,2019 Offenses Against the Family and Children,2019 Prostitution and Commercialized Vice,2019 Rape,2019 Robbery,"2019 Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",2019 Simple Assault,"2019 Stolen Property: Buying, Receiving, Possessing",2019 Suspicion,2019 Vagrancy,2019 Vandalism,"2019 Weapons: Carrying, Possessing, Etc."
Louisville,617790,LOUISVILLE METRO,KY,KY0568000,LOUISVILLE METRO POLICE DEPARTMENT,683335,https://data.louisvilleky.gov/dataset/officer-involved-shooting-and-statistical-analysis,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),2,6,6,2,8,9,16,,40011,38873,3644,4640,1675,17788,31716,1370,22969,33503,700%,-18%,29%,6%,27%,-3%,1050,2775,117,1162,0,639,2302,8161,2991,0,252,419,3,0,0,5545,117,0,156,41,514,234,25,559,0,2636,897,0,190,376,555,990,15613,2,570,0,471,937,5020,438,1,292,462,4,0,0,2879,1,3,294,57,456,18,23,300,23,2400,1439,0,36,431,343
Baltimore,609032,BALTIMORE,MD,MDBPD0000,BALTIMORE POLICE DEPARTMENT,605436,https://www.projectcomport.org/department/BPD/officerinvolvedshootings/ ; https://www.muckrock.com/foi/baltimore-315/police-data-collection-baltimore-2020-111746/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),12,12,14,13,10,6,6,7,48692,45840,8725,11101,2374,33451,47560,2126,14158,24831,-50%,-10%,-58%,-48%,27%,-6%,1189,13692,69,1052,175,1180,137,17045,0,0,97,25,71,0,0,2417,45,4,453,101,148,583,63,1021,123,6161,0,0,64,459,1186,1060,9510,53,810,23,170,54,3771,0,0,41,18,26,0,0,590,3,8,719,89,106,249,75,902,55,4986,0,0,37,315,1161
Milwaukee,594548,MILWAUKEE,WI,WIMPD0000,MILWAUKEE POLICE DEPARTMENT,595619,https://city.milwaukee.gov/ImageLibrary/Public/ImageLibrary/Photos/2019CityofMilwaukeeFireandPoliceCommissionUseofForceReportFinal.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),14,8,12,7,5,5,5,,43464,30349,8194,7874,2833,27094,41870,2400,5888,14049,-64%,-15%,-78%,-66%,-4%,-30%,1552,10164,31,818,881,7012,1172,3983,0,47,57,158,63,0,0,4027,460,3,108,80,146,126,202,999,166,4706,493,0,1858,1375,1183,1672,2108,26,228,30,860,1109,1161,0,20,12,41,0,24,1,547,49,5,99,66,147,50,176,486,141,3186,428,0,101,420,856
Albuquerque,559374,ALBUQUERQUE,NM,NM0010100,ALBUQUERQUE POLICE DEPARTMENT,560235,https://www.justice.gov/usao-nm/page/file/1193921/download ; https://www.cabq.gov/cpoa/documents/OIS%20Report-Draft%203-4-15.pdf ; https://www.abqjournal.com/1398718/apd-releases-details-of-recent-police-shootings.html ; https://www.santafenewmexican.com/news/local_news/albuquerque-police-say-they-ll-target-gun-violence-in/article_93777f51-bffe-5540-a052-7682f6c33018.html ; https://www.muckrock.com/foi/albuquerque-343/albuquerque-pd-citizen-complaints-41958/#file-821527 ; chief said 10 shootings in 2020: https://www.krqe.com/news/crime/apd-to-discuss-meth-use-officer-involved-shootings/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),12,8,9,6,9,10,8,10,36927,46986,4325,7596,1562,14605,27700,1845,11409,22123,-33%,18%,-22%,-20%,76%,27%,1377,7923,7,666,0,807,2820,1626,0,91,76,213,0,0,0,5238,698,4,99,25,186,241,23,137,42,4373,408,0,0,490,130,1617,7834,17,273,0,468,1448,680,0,53,34,103,0,0,1,2518,239,1,119,20,714,41,12,196,11,4421,434,0,44,655,170
Tucson,541482,TUCSON,AZ,AZ0100300,TUCSON POLICE DEPARTMENT,537392,http://gisdata.tucsonaz.gov/datasets/tucson-police-officer-involved-shooting-incidents/geoservice ; https://qlikapps.tucsonaz.gov/sense/app/d9940d02-7edc-4a05-9d49-4c8fec425638/sheet/153dd275-4e13-433f-bb13-ded94edad49e/state/analysis,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),9,6,6,8,2,10,7,,46609,30413,3368,3775,756,22079,31892,1196,26108,36233,-22%,58%,18%,14%,12%,-35%,455,9975,18,368,178,1817,2072,4239,0,1,72,97,0,0,0,4206,2144,0,125,28,11,77,22,251,16,3672,134,0,0,1577,337,732,17123,16,674,32,2073,1408,3228,0,3,29,243,0,0,0,3019,641,3,222,27,12,0,65,372,21,4142,128,0,0,1603,417
Fresno,525010,FRESNO,CA,CA0100500,FRESNO POLICE DEPARTMENT,531818,https://www.fresno.gov/police/wp-content/uploads/sites/5/2016/09/Officer-Involved-Shootings-Report.pdf ; https://www.aclunc.org/docs/Reducing_Officer-Involved_Shootings_in_Fresno_CA.pdf,Did Not Report 2019 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),11,8,9,9,5,6,3,8,30868,22548,2552,2457,2345,20904,30580,,,,-73%,-100%,-100%,-100%,-4%,-27%,1903,11364,40,1306,6,357,2167,5341,1028,12,111,58,9,0,0,2089,68,4,172,42,8,160,20,380,130,1640,709,0,20,384,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,500930,SACRAMENTO,CA,CA0340400,SACRAMENTO POLICE DEPARTMENT,507037,https://www.cityofsacramento.org/Police/Transparency/Use-Of-Force-Statistics ; https://www.cityofsacramento.org/Police/Transparency/Officer-Involved-Shootings ; https://www.cityofsacramento.org/Police/Transparency/Senate-Bill-1421-Releases ; two police shootings (URSUS-34-0400-2019-7cc and URSUS-34-0400-2019-677) in 2019 found via https://openjustice.doj.ca.gov/data (Sacramento Transparency portal does not include one of these cases: a shooting on 12/18/19),2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),3,5,2,3,5,2,2,6,24940,23703,3137,3223,2276,10623,18467,2404,7108,13438,-33%,6%,-33%,-27%,3%,-5%,1815,3400,28,751,0,54,1102,4126,1527,33,104,196,5,0,0,1211,41,6,306,21,5,81,25,415,250,1553,353,0,29,258,772,1959,2088,63,428,0,143,803,2941,726,23,21,110,0,0,0,424,51,3,309,35,2,66,19,391,203,1338,333,0,7,283,669
Mesa,499720,MESA,AZ,AZ0071700,MESA POLICE DEPARTMENT,504873,2013-18: https://www.azcentral.com/storytelling/arizona-police-shootings/ ; 2019: https://www.azcentral.com/pages/interactives/news/local/arizona-data/arizona-police-shootings/,2013-19 UCR Data,3,5,6,8,5,11,2,,19736,16569,1807,1953,668,16309,24509,750,10849,16380,-33%,12%,-33%,-33%,8%,-16%,453,7440,19,337,343,1133,2166,2820,0,68,197,423,0,0,0,3568,1275,4,99,24,140,32,20,171,155,2053,200,0,168,932,269,548,5148,7,328,90,724,1462,2384,0,65,108,227,0,0,0,1842,305,1,107,11,36,41,41,150,130,1598,117,0,23,672,215
Atlanta,488800,ATLANTA,GA,GAAPD0000,ATLANTA POLICE DEPARTMENT,496106,2013: http://opendata.atlantapd.org/Crimedata/OfficerInvolvedShootings.aspx ; https://www.muckrock.com/foi/atlanta-325/police-data-collection-project-atlanta-police-department-87646/ ; 2020: https://www.ajc.com/news/crime-amp-law/map-georgia-officer-involved-shootings-under-gbi-investigation-2020/9jnhGD0w7vmtwiiQc75zcN/,Did Not Report UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) in 2018 or 2019,6,9,9,7,7,10,7,10,39660,23334,5516,3042,1982,18372,30505,,,,17%,-100%,-100%,-100%,-45%,-41%,1347,4036,21,560,67,4022,1354,4534,0,79,296,456,83,0,0,3061,2579,0,329,75,57,544,43,517,1224,3172,448,0,618,535,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,486404,KANSAS CITY,MO,MOKPD0000,KANSAS CITY POLICE DEPARTMENT,493115,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,37491,34097,5876,7099,687,5961,11828,1142,5474,11730,,66%,-8%,-1%,21%,-9%,414,2778,7,167,6,678,702,988,22,14,20,22,0,0,0,2001,276,13,91,23,103,104,24,226,36,2469,37,0,48,359,200,796,2523,13,231,0,660,845,797,4,61,25,64,0,1,0,1285,47,4,264,67,80,98,48,231,24,2559,247,0,6,494,256
Omaha,475862,OMAHA,NE,NB0280200,OMAHA POLICE DEPARTMENT,469351,https://www.nptelegraph.com/townnews/crime/omaha-was-hours-away-from-tying--year-low-for/article_fe879d1b-942f-5865-a9f0-9d5f23f1fd02.html ; https://cdn.muckrock.com/foia_files/2021/03/23/OPD_2019-2020_Use_of_Force_Statistics.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),6,5,3,7,3,5,1,2,25570,26522,2449,2883,761,11666,19407,973,8831,18836,-83%,28%,-24%,-3%,18%,4%,521,3223,25,227,0,823,2594,2772,0,23,182,392,5,0,0,3211,1472,3,94,28,348,137,47,165,211,1614,278,0,0,640,372,583,2675,35,162,0,1058,1541,2445,0,17,70,474,3,0,0,3064,279,0,204,20,358,45,111,259,178,3537,417,0,9,776,516
Long Beach,466776,LONG BEACH,CA,CA0194100,LONG BEACH POLICE DEPARTMENT,470445,https://openjustice.doj.ca.gov/data ; https://www.scpr.org/news/2014/04/14/43498/families-take-legal-action-against-long-beach-poli/ (15 shootings in 2013 excluding accidental discharges and animal shootings) https://www.longbeach.gov/globalassets/police/media-library/documents/about-the-lbpd/lbpd-1421748/ois-2015-19-dashboard ; http://www.longbeach.gov/police/about-the-lbpd/lbpd-1421748/ois/ ; https://www.presstelegram.com/2019/10/18/police-shootings-in-long-beach-are-lowest-theyve-been-in-years/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),15,6,9,8,8,4,3,4,18672,18561,2346,2369,1488,12921,18346,1658,7927,12643,-80%,11%,-39%,-31%,1%,-1%,1124,6832,32,771,32,220,1474,2438,1204,9,137,71,1,0,0,967,101,2,265,23,5,263,13,328,211,1046,117,0,58,298,304,1366,4116,63,148,0,44,780,1972,577,9,40,57,8,0,0,523,35,7,277,16,1,20,21,255,107,1349,95,0,59,316,382
Colorado Springs,464871,COLORADO SPRINGS,CO,CO0210100,COLORADO SPRINGS POLICE DEPARTMENT,471124,2013-15: https://www.jrsa.org/pubs/sac-digest/vol-28/co-offinvoshootings-mar2018.pdf ; 2016-19: https://www.cpr.org/2020/02/04/we-dug-into-6-years-of-records-to-learn-more-about-colorado-police-shootings-now-you-can-too/ ; 2020: https://www.cpr.org/2020/01/02/2020-colorado-officer-involved-shootings/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),1,2,4,3,5,8,6,5,21844,23059,1872,2806,595,11946,17106,1263,11657,19278,500%,112%,-2%,13%,50%,6%,463,6886,21,198,0,367,3242,539,0,0,37,110,0,0,0,2375,528,0,102,18,187,13,31,83,51,1216,72,0,0,371,196,962,7820,28,501,1,414,1405,1143,0,0,71,188,0,0,0,2823,288,4,506,14,228,19,94,193,78,1627,36,0,1,566,268
Raleigh,464485,RALEIGH,NC,NC0920100,RALEIGH POLICE DEPARTMENT,473765,https://view.ceros.com/abc/policing-mental-health/p/1,Did Not Report UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) in 2018 or 2019,1,1,0,2,0,1,3,2,18719,13741,1683,1222,1019,18844,27458,,,,200%,-100%,-100%,-100%,-27%,-27%,612,8785,12,655,0,1356,1610,3873,0,43,130,883,0,0,0,2760,2398,0,84,24,99,86,38,345,173,2049,342,0,265,471,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,454279,MIAMI,FL,FL0130600,MIAMI POLICE DEPARTMENT,473047,2013-16: https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data (Miami: https://docs.google.com/spreadsheets/d/11-FmOUfrCFpXPUsWwokTI66M7TSWSL_nhSTJsNPSZLI/edit#gid=760184333 ) ; 2017: https://www.miamiherald.com/news/local/crime/article192533739.html ; 2018-20: https://miamisao.com/media/officer-involved-shootings/,FDLE Data: https://www.fdle.state.fl.us/FSAC/Data-Statistics/UCR-Arrest-Data.aspx,5,1,3,3,1,2,1,,30383,25543,4945,2850,1596,24846,31210,1083,12815,18372,-80%,-32%,-48%,-41%,-42%,-16%,1242,16675,7,316,,,438,2932,,0,51,106,14,,,1879,4406,0,126,23,,197,26,305,50,2126,9,,,184,98,752,9803,2,221,0,0,184,2476,0,3,6,136,9,0,0,1515,4,2,140,14,0,139,36,281,58,2246,21,0,0,200,124
Virginia Beach,450201,VIRGINIA BEACH,VA,VA1280000,VIRGINIA BEACH POLICE DEPARTMENT,451001,https://www.vbgov.com/government/departments/police/supportdiv/Pages/annual-reports.aspx ; 2020: https://www.vsp.virginia.gov/pdf/Crime_in_Virginia/Crime_In_Virginia_2020.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),4,2,4,0,4,1,3,2,18052,13224,738,581,426,17454,24359,309,12798,17112,-25%,-27%,-27%,-30%,-21%,-27%,194,7810,8,267,450,721,2297,1750,3275,65,72,339,5,0,0,2106,625,0,55,22,366,61,40,170,85,2836,45,0,125,335,235,167,6760,6,67,88,394,1817,1556,1841,29,46,131,10,0,0,1046,132,0,52,12,127,36,22,108,16,2254,15,0,1,163,216
Oakland,425097,OAKLAND,CA,CA0010900,OAKLAND POLICE DEPARTMENT,430230,http://www.oaklandmagazine.com/April-2017/The-Year-of-No-Shootings/ ; https://openjustice.doj.ca.gov/data ; https://data.oaklandnet.com/dataset/OPD-Use-of-Force-2012-2017/2748-ze8w?referrer=embed,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),5,0,7,0,1,1,0,1,40542,41705,7984,5520,857,3655,7562,1346,3584,8275,-100%,57%,-2%,9%,-31%,3%,478,1471,8,257,0,10,94,1131,307,5,24,25,3,0,0,234,4,2,261,16,2,171,29,334,138,1801,89,0,17,447,204,934,1845,12,263,0,18,306,590,18,27,34,20,11,0,0,119,13,1,470,37,3,373,28,347,68,1871,137,0,3,407,320
Minneapolis,420324,MINNEAPOLIS,MN,MN0271100,MINNEAPOLIS POLICE DEPARTMENT,428261,http://opendata.minneapolismn.gov/datasets/police-officer-involved-shootings (incidents by case number),2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),3,4,6,2,4,3,2,3,27832,29865,4038,3990,2366,29698,41594,1105,6557,11994,-33%,-53%,-78%,-71%,-1%,7%,1366,10322,12,664,3252,3144,1372,4184,0,2,296,138,0,0,0,3562,5398,0,230,38,44,598,172,790,152,2922,458,0,510,918,1050,711,3688,14,198,86,245,278,1251,0,0,35,191,0,0,0,975,628,1,238,28,10,4,55,311,34,1517,433,0,180,197,686
Tulsa,402324,TULSA,OK,OK0720500,TULSA POLICE DEPARTMENT,403147,https://www.tulsapolice.org/media/165885/IA_Annual_Report_2018r.pdf; https://www.tulsapolice.org/media/165177/IA_Annual_Report_2017.pdf ; https://www.tulsapolice.org/media/163107/ia%20annual%20report%202016a.pdf ; https://www.readfrontier.org/special-projects/shot-by-shot-oklahoma-officer-involved-shootings-in-2019/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),16,7,17,20,5,4,7,,30257,31133,3827,3964,844,8605,16360,908,7139,14589,-56%,8%,-17%,-11%,4%,3%,563,2871,37,463,262,529,985,1523,2046,148,126,398,3,0,0,3418,74,1,42,54,47,125,37,190,134,1340,367,0,0,187,390,689,3327,49,473,64,561,535,1007,1144,201,144,355,0,0,0,2469,35,2,101,46,28,0,19,154,134,1222,741,0,210,256,623
Arlington (TX),395477,ARLINGTON,TX,TX2200100,ARLINGTON POLICE DEPARTMENT,400920,https://www.arlingtontx.gov/city_hall/departments/police/reporting/use_of_force_report; http://raw.texastribune.org.s3.amazonaws.com/projects/unholstered/TexasTribune_PoliceShootings.zip,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),4,2,4,1,6,2,3,2,21890,20301,1837,2055,765,11949,17258,533,6700,10338,-25%,-30%,-44%,-40%,12%,-7%,515,5861,2,307,0,621,1066,2378,1607,0,174,112,8,0,0,2479,145,0,157,15,9,42,86,149,64,1116,0,0,74,147,124,448,1821,1,88,0,175,1517,2723,327,0,31,122,5,0,1,1080,25,1,30,5,9,28,14,66,7,1510,0,0,0,79,225
New Orleans,390845,NEW ORLEANS,LA,LANPD0000,NEW ORLEANS POLICE DEPARTMENT,396374,https://data.nola.gov/Public-Safety-and-Preparedness/NOPD-Use-of-Force-Incidents/9mnw-mbde ; https://news.vice.com/en_us/article/a3jjpa/nonfatal-police-shootings-data (New Orleans: https://docs.google.com/spreadsheets/d/1v7xmgSW0JwX-AwQTdA5TUyKylkYrl9JU9gN0Avpjimg/edit#gid=0 ),Did Not Report UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) in 2013 or 2019,8,8,9,4,3,0,5,1,21639,31789,2965,4516,,,,,,,-38%,,,,52%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita,389877,WICHITA,KS,KS0870300,WICHITA POLICE DEPARTMENT,391726,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,34705,35882,3069,4451,674,4619,10566,991,4646,9508,,47%,1%,-10%,45%,3%,513,925,13,238,0,437,990,1551,0,79,114,56,3,0,0,1651,84,0,171,22,20,164,48,91,53,2549,43,0,0,465,286,807,1568,14,125,0,392,596,1491,0,8,47,32,0,0,0,911,77,1,116,32,10,69,37,115,20,2026,96,0,0,453,465
Tampa,387916,TAMPA,FL,FL0290200,TAMPA POLICE DEPARTMENT,392945,,FDLE Data: https://www.fdle.state.fl.us/FSAC/Data-Statistics/UCR-Arrest-Data.aspx,,,,,,,,,15366,12571,2097,1622,1181,33440,41318,868,12745,18580,,-27%,-62%,-55%,-23%,-18%,755,24535,20,568,,,1778,6204,,100,165,865,7,,,1955,359,1,127,18,,303,35,373,36,2388,23,,,254,449,659,8885,9,295,0,0,979,2532,0,49,128,562,1,0,0,1259,19,3,156,8,0,139,44,157,50,2065,19,0,0,190,372
Cleveland,385282,CLEVELAND,OH,OHCLP0000,CLEVELAND POLICE DEPARTMENT,384666,2013-14: https://docs.google.com/spreadsheets/d/1CaOQ7FUYsGFCHEqGzA2hlfj69sx3GE9GoJ40OcqI9KY/edit#gid=1271324584 ; 2015-17: https://www.muckrock.com/foi/cleveland-327/cleveland-oh-pd-citizen-complaints-40317/ ; 2018-20: http://www.clevelandohio.gov/sites/default/files/forms_publications/Use%20of%20Force%20Report%20May_17_2021.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),6,12,5,2,6,2,6,5,46774,39515,5782,5791,1074,3353,9245,700,1077,4068,0%,-35%,-68%,-56%,0%,-16%,490,474,11,566,0,355,49,2095,5,0,16,84,0,0,0,678,29,0,147,31,0,200,72,481,66,2768,107,0,0,146,375,491,346,10,176,0,35,144,493,0,0,0,25,0,0,0,109,6,0,16,29,0,23,28,152,20,1656,57,0,0,30,222
Bakersfield,377917,BAKERSFIELD,CA,CA0150200,BAKERSFIELD POLICE DEPARTMENT,385609,https://www.muckrock.com/foi/bakersfield-3105/police-data-collection-project-bakersfield-police-department-87673/#file-843094,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),6,5,10,4,6,3,3,6,20996,20880,1857,1766,1896,9255,16786,1215,8178,13358,-50%,-36%,-12%,-20%,-5%,-1%,1475,2412,3,1087,0,37,915,3148,1622,13,56,64,1,0,0,1114,56,1,154,33,1,733,16,372,168,1701,772,0,45,286,501,901,2560,9,628,0,21,886,3233,939,11,32,86,11,0,0,385,16,4,120,38,1,96,36,240,91,1516,592,0,34,382,490
Aurora,369111,AURORA,CO,CO0010100,AURORA POLICE DEPARTMENT,372824,https://cdn.muckrock.com/foia_files/2020/06/17/APD-R_519_Mar_2020.pdf ; 3 incidents in 2020: https://www.cpr.org/2020/01/02/2020-colorado-officer-involved-shootings/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),5,3,8,6,3,8,5,3,15372,18908,1429,2799,530,14919,21182,776,9724,14699,0%,46%,-35%,-31%,96%,23%,350,7488,36,168,82,2279,2057,863,0,5,30,109,0,0,0,3133,1381,1,116,11,224,114,31,138,22,1609,40,0,111,544,240,561,6120,17,128,34,1064,808,818,0,4,25,119,0,0,0,1551,306,3,280,10,192,33,30,175,24,1607,11,0,7,534,238
Anaheim,349964,ANAHEIM,CA,CA0300100,ANAHEIM POLICE DEPARTMENT,354743,https://openjustice.doj.ca.gov/ ; https://cdn.muckrock.com/foia_files/2018/01/17/1-12-18_MR46862_RES.pdf,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),1,3,4,5,2,4,3,3,13597,12165,1130,1120,952,4506,7891,930,6672,9645,200%,-2%,48%,22%,-1%,-11%,728,1505,5,436,0,17,535,1511,532,9,41,71,0,0,0,523,52,1,108,23,0,145,15,186,88,794,199,0,6,203,158,737,2178,18,281,0,10,640,3028,501,7,35,29,3,0,0,336,56,1,58,15,0,48,23,155,113,775,176,0,17,191,214
Honolulu,348985,HONOLULU,HI,HI0020000,HONOLULU (CITY AND COUNTY) POLICE DEPARTMENT,982019,https://docs.google.com/spreadsheets/d/1Xe5ny_9Fgf0S0C80d3W3q4DrV7j7QeeLiguhU1zc6cc/edit#gid=262311942 ; https://cdn.muckrock.com/foia_files/2020/02/26/2018_UOF_Report.pdf ; https://www.civilbeat.org/2020/11/report-honolulu-police-use-of-force-increased-last-year/,Did Not Report UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest) in 2013 or 2014,4,4,3,3,3,2,9,,20803,40134,1135,2638,,,,620,10874,16659,125%,,,,132%,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,5334,27,152,52,458,3519,1059,0,1,42,85,34,1,0,1550,270,0,42,25,3,69,61,186,102,2611,449,0,3,76,100
Santa Ana,332794,SANTA ANA,CA,CA0301900,SANTA ANA POLICE DEPARTMENT,335403,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,8865,10598,1121,1453,705,6033,8715,630,3569,5644,,-11%,-41%,-35%,30%,20%,513,1814,6,313,17,46,751,1978,703,3,25,23,9,0,0,584,57,3,86,12,0,476,16,164,168,369,137,0,13,169,260,446,1363,18,188,0,12,256,1287,207,3,13,32,53,0,0,197,28,0,99,16,0,225,46,122,116,333,239,0,0,138,207
Riverside,326414,RIVERSIDE,CA,CA0331300,RIVERSIDE POLICE DEPARTMENT,331022,https://openjustice.doj.ca.gov/ ; 2015 had 4 police shootings incidents: https://cdn.muckrock.com/foia_files/2020/07/08/UOF_by_Type_2015-2019.pdf; 6 OID shootings in 2013 and 1 in 2014: https://www.muckrock.com/foi/riverside-395/police-data-collection-riverside-police-department-114059/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),6,1,4,3,2,2,2,2,14072,14835,1330,1686,701,4671,8117,804,4665,7755,-67%,15%,0%,-4%,27%,5%,538,1684,3,592,3,23,530,1808,354,12,48,25,12,0,0,990,29,1,81,3,1,76,19,141,60,523,253,0,2,150,156,687,2089,11,394,0,15,444,1669,199,15,12,34,18,0,0,455,31,0,59,8,0,5,16,93,83,755,254,0,1,194,214
Corpus Christi,325780,CORPUS CHRISTI,TX,TX1780200,CORPUS CHRISTI POLICE DEPARTMENT,328614,https://texasjusticeinitiative.org/,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),1,3,6,2,1,1,3,4,22779,20162,1939,2616,426,12673,16900,513,8724,12255,200%,20%,-31%,-27%,35%,-11%,323,5129,3,150,337,116,1018,2035,3467,0,39,50,0,0,0,1969,410,0,115,21,72,41,7,75,16,1207,0,0,0,120,180,378,2924,9,130,123,62,863,2356,2103,1,39,84,0,0,0,1313,79,0,162,10,37,57,13,112,3,1069,4,0,39,118,167
San Juan,323279,SAN JUAN,PR,,SAN JUAN POLICE DEPARTMENT,,,Did Not Report UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington,320601,LEXINGTON,KY,KY0340200,LEXINGTON DIVISION OF POLICE,325579,,2013-19 UCR Data (https://crime-data-explorer.fr.cloud.gov/pages/explorer/crime/arrest),,,,,,,,,16685,14431,946,967,300,4179,9189,426,11761,17697,,42%,181%,93%,2%,-14%,122,1566,4,434,0,116,443,1432,571,89,113,98,0,0,0,2443,12,3,114,23,189,28,20,135,24,941,128,0,11,88,42,201,6393,20,400,0,380,842,1840,2202,105,95,165,0,0,0,2170,60,0,142,19,477,41,36,170,23,1431,195,0,3,251,36
